trade_id,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,pnl_gross,pnl_net,pnl_r,session,spread_cost,slippage_cost,total_cost,mae,mfe,holding_bars,exit_reason,confidence
50,2026-02-23 00:00:00-05:00,2026-02-23 02:00:00-05:00,long,5179.8999,5162.3749,5162.5749,5205.8874,-17.525,-18.225,-1.0519,asian,0.5,0.2,0.7,22.2998,0.0,3,sl,0.6584
51,2026-02-23 07:00:00-05:00,2026-02-23 08:00:00-05:00,long,5185.0,5171.1393,5171.3393,5205.4911,-13.8607,-14.5607,-1.0659,london,0.5,0.2,0.7,18.7998,0.0,1,sl,0.75
52,2026-02-23 09:00:00-05:00,2026-02-23 11:00:00-05:00,long,5213.5,5230.1428,5202.2714,5230.3428,16.6428,15.9428,1.4198,london,0.5,0.2,0.7,0.0,16.8999,2,tp,0.7002
53,2026-02-23 20:00:00-05:00,2026-02-24 07:00:00-05:00,short,5196.1001,5175.2858,5210.9429,5175.0858,20.8143,20.1143,1.3551,new_york,0.5,0.2,0.7,12.8999,27.3003,26,tp,0.71
54,2026-02-24 07:00:00-05:00,2026-02-24 08:00:00-05:00,short,5168.2998,5150.207,5181.3284,5150.007,18.0928,17.3928,1.335,london,0.5,0.2,0.7,0.0,36.0,1,tp,0.85
55,2026-02-24 13:00:00-05:00,2026-02-24 16:00:00-05:00,long,5178.8999,5165.7535,5165.9535,5198.3195,-13.1464,-13.8464,-1.0695,overlap,0.5,0.2,0.7,18.3999,2.8999,3,sl,0.8338
56,2026-02-24 18:00:00-05:00,2026-02-24 20:00:00-05:00,short,5164.5,5178.5643,5178.3643,5144.9536,-14.0643,-14.7643,-1.0649,new_york,0.5,0.2,0.7,30.6001,0.0,2,sl,0.6848
57,2026-02-24 20:00:00-05:00,2026-02-25 00:00:00-05:00,long,5195.1001,5216.7412,5180.5394,5216.9412,21.6411,20.9411,1.4382,new_york,0.5,0.2,0.7,0.0,26.1001,4,tp,0.6768
58,2026-02-25 04:00:00-05:00,2026-02-25 05:00:00-05:00,long,5212.8999,5201.3178,5201.5178,5229.9731,-11.5821,-12.2821,-1.0791,asian,0.5,0.2,0.7,19.1997,0.0,1,sl,0.625
59,2026-02-25 05:00:00-05:00,2026-02-25 09:00:00-05:00,short,5193.2002,5205.7109,5205.5109,5175.9841,-12.5107,-13.2107,-1.0731,asian,0.5,0.2,0.7,17.0,0.0,4,sl,0.8009
60,2026-02-25 15:00:00-05:00,2026-02-25 16:00:00-05:00,short,5169.3999,5180.8963,5180.6963,5153.7053,-11.4964,-12.1964,-1.0797,overlap,0.5,0.2,0.7,14.3003,0.0,1,sl,0.7823
61,2026-02-25 21:00:00-05:00,2026-02-26 05:00:00-05:00,long,5199.6001,5187.8037,5188.0037,5216.9947,-11.7964,-12.4964,-1.0776,new_york,0.5,0.2,0.7,12.5,14.7998,14,sl,0.7884
62,2026-02-26 08:00:00-05:00,2026-02-26 10:00:00-05:00,short,5181.7998,5192.3676,5192.1676,5167.4981,-10.5678,-11.2678,-1.0868,london,0.5,0.2,0.7,20.7002,0.6997,2,sl,0.6034
63,2026-02-26 10:00:00-05:00,2026-02-26 12:00:00-05:00,long,5202.5,5190.7643,5190.9643,5219.8035,-11.7357,-12.4357,-1.078,london,0.5,0.2,0.7,18.5,0.0,2,sl,0.6167
64,2026-02-26 12:00:00-05:00,2026-02-26 13:00:00-05:00,short,5183.5,5196.0857,5195.8857,5166.1715,-12.5857,-13.2857,-1.0727,overlap,0.5,0.2,0.7,13.3999,0.0,1,sl,0.6361
65,2026-02-26 13:00:00-05:00,2026-02-27 16:00:00-05:00,long,5196.8999,5247.6999,5184.3821,5215.6767,50.8,50.1,4.0023,overlap,0.5,0.2,0.7,5.2998,17.8003,52,end_of_data,0.6352
