trade_id,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,pnl_gross,pnl_net,pnl_r,session,spread_cost,slippage_cost,total_cost,mae,mfe,holding_bars,exit_reason,confidence
93,2026-02-10 13:00:00-05:00,2026-02-10 14:00:00-05:00,long,5036.0,5041.0,5031.5,5042.0,5.0,1.0,0.2222,overlap,3.0,1.0,4.0,0.0,14.7998,1,tp,0.0245
94,2026-02-10 16:00:00-05:00,2026-02-10 18:00:00-05:00,long,5047.8999,5052.8999,5043.3999,5053.8999,5.0,1.0,0.2222,new_york,3.0,1.0,4.0,0.0,16.2002,1,tp,0.0501
95,2026-02-11 05:00:00-05:00,2026-02-11 06:00:00-05:00,short,5115.6001,5124.1001,5123.1001,5112.6001,-8.5,-12.5,-1.6667,asian,3.0,1.0,4.0,21.1997,0.0,1,sl,0.2656
96,2026-02-11 06:00:00-05:00,2026-02-11 07:00:00-05:00,short,5133.7998,5131.7998,5141.2998,5130.7998,2.0,-2.0,-0.2667,asian,3.0,1.0,4.0,0.0,26.5996,1,tp,0.3752
97,2026-02-11 16:00:00-05:00,2026-02-11 18:00:00-05:00,short,5104.7998,5102.7998,5112.2998,5101.7998,2.0,-2.0,-0.2667,new_york,3.0,1.0,4.0,0.0,21.2998,1,tp,0.0038
98,2026-02-12 11:00:00-05:00,2026-02-12 12:00:00-05:00,long,4976.2998,4970.7998,4971.7998,4982.2998,-5.5,-9.5,-2.1111,london,3.0,1.0,4.0,14.7998,0.0,1,sl,0.2786
99,2026-02-12 12:00:00-05:00,2026-02-12 13:00:00-05:00,long,4961.5,4956.0,4957.0,4967.5,-5.5,-9.5,-2.1111,overlap,3.0,1.0,4.0,5.6001,0.0,1,sl,0.3541
100,2026-02-12 13:00:00-05:00,2026-02-12 14:00:00-05:00,long,4955.8999,4960.8999,4951.3999,4961.8999,5.0,1.0,0.2222,overlap,3.0,1.0,4.0,0.0,9.1001,1,tp,0.3424
101,2026-02-12 14:00:00-05:00,2026-02-12 15:00:00-05:00,long,4965.0,4959.5,4960.5,4971.0,-5.5,-9.5,-2.1111,overlap,3.0,1.0,4.0,29.8999,0.0,1,sl,0.2819
102,2026-02-12 15:00:00-05:00,2026-02-12 16:00:00-05:00,long,4935.1001,4940.1001,4930.6001,4941.1001,5.0,1.0,0.2222,overlap,3.0,1.0,4.0,0.0,6.2998,1,tp,0.322
103,2026-02-12 16:00:00-05:00,2026-02-12 20:00:00-05:00,long,4941.3999,4946.3999,4936.8999,4947.3999,5.0,1.0,0.2222,new_york,3.0,1.0,4.0,1.6997,58.3999,6,tp,0.4665
104,2026-02-13 12:00:00-05:00,2026-02-13 13:00:00-05:00,short,5040.5,5049.0,5048.0,5037.5,-8.5,-12.5,-1.6667,overlap,3.0,1.0,4.0,13.6001,0.0,1,sl,0.1288
105,2026-02-13 13:00:00-05:00,2026-02-13 14:00:00-05:00,short,5051.1001,5049.1001,5058.6001,5048.1001,2.0,-2.0,-0.2667,overlap,3.0,1.0,4.0,0.0,4.7002,1,tp,0.4459
106,2026-02-13 14:00:00-05:00,2026-02-13 15:00:00-05:00,short,5043.3999,5051.8999,5050.8999,5040.3999,-8.5,-12.5,-1.6667,overlap,3.0,1.0,4.0,10.6001,0.0,1,sl,0.3203
107,2026-02-13 15:00:00-05:00,2026-02-13 16:00:00-05:00,short,5051.0,5049.0,5058.5,5048.0,2.0,-2.0,-0.2667,overlap,3.0,1.0,4.0,0.0,4.7002,1,tp,0.2886
108,2026-02-13 16:00:00-05:00,2026-02-15 18:00:00-05:00,short,5043.2998,5041.2998,5050.7998,5040.2998,2.0,-2.0,-0.2667,new_york,3.0,1.0,4.0,0.0,4.7998,1,tp,0.0654
109,2026-02-15 19:00:00-05:00,2026-02-15 20:00:00-05:00,short,5032.0,5040.5,5039.5,5029.0,-8.5,-12.5,-1.6667,new_york,3.0,1.0,4.0,15.6001,0.0,1,sl,0.1196
